incident_id,raw_ground_truth_label,target_class
INC-0001,Warehouse Industrial Fire,industrial_fire
INC-0002,Warehouse Industrial Fire,industrial_fire
INC-0003,Chemical Storage Blaze,industrial_fire
INC-0004,Warehouse Industrial Fire,industrial_fire
INC-0005,Chemical Storage Blaze,industrial_fire
INC-0006,Manufacturing Plant Fire,industrial_fire
INC-0007,Manufacturing Plant Fire,industrial_fire
INC-0008,Manufacturing Plant Fire,industrial_fire
INC-0009,Chemical Storage Blaze,industrial_fire
INC-0010,Petrochemical Explosion,industrial_fire
INC-0011,Refinery Flare Stack Fire,industrial_fire
INC-0012,Manufacturing Plant Fire,industrial_fire
INC-0013,Chemical Storage Blaze,industrial_fire
INC-0014,Chemical Storage Blaze,industrial_fire
INC-0015,Manufacturing Plant Fire,industrial_fire
INC-0016,Refinery Flare Stack Fire,industrial_fire
INC-0017,Manufacturing Plant Fire,industrial_fire
INC-0018,Petrochemical Explosion,industrial_fire
INC-0019,Manufacturing Plant Fire,industrial_fire
INC-0020,Petrochemical Explosion,industrial_fire
INC-0021,Refinery Flare Stack Fire,industrial_fire
INC-0022,Chemical Storage Blaze,industrial_fire
INC-0023,Warehouse Industrial Fire,industrial_fire
INC-0024,Warehouse Industrial Fire,industrial_fire
INC-0025,Chemical Storage Blaze,industrial_fire
INC-0026,Refinery Flare Stack Fire,industrial_fire
INC-0027,Manufacturing Plant Fire,industrial_fire
INC-0028,Manufacturing Plant Fire,industrial_fire
INC-0029,Chemical Storage Blaze,industrial_fire
INC-0030,Chemical Storage Blaze,industrial_fire
INC-0031,Manufacturing Plant Fire,industrial_fire
INC-0032,Chemical Storage Blaze,industrial_fire
INC-0033,Manufacturing Plant Fire,industrial_fire
INC-0034,Chemical Storage Blaze,industrial_fire
INC-0035,Warehouse Industrial Fire,industrial_fire
INC-0036,Warehouse Industrial Fire,industrial_fire
INC-0037,Refinery Flare Stack Fire,industrial_fire
INC-0038,Manufacturing Plant Fire,industrial_fire
INC-0039,Warehouse Industrial Fire,industrial_fire
INC-0040,Manufacturing Plant Fire,industrial_fire
INC-0041,Chemical Storage Blaze,industrial_fire
INC-0042,Chemical Storage Blaze,industrial_fire
INC-0043,Manufacturing Plant Fire,industrial_fire
