incident_id,frp_mw,brightness_temperature,brightness_ti5,scan,track,satellite_sensor,instrument,daynight,firms_confidence,latitude,longitude,land_cover_type,elevation_m,forest_distance_km,urban_distance_km,industrial_distance_km,oil_gas_facility_distance_km,chemical_facility_distance_km,population_density,ndvi,forest_cover_pct,vegetation_density,fuel_moisture_pct,temperature_c,humidity_pct,rainfall_24h_mm,rainfall_7d_mm,wind_speed_kmh,wind_direction_deg,soil_moisture_pct,drought_index,month,season,hour,historical_fire_count_7d,historical_fire_count_30d,historical_fire_count_90d,historical_fire_count_365d,refinery_distance_km,power_plant_distance_km,steel_plant_distance_km,cement_plant_distance_km,mine_distance_km,lng_terminal_distance_km,industrial_landuse_distance_km,within_industrial_area,nearby_facility_type,incident_name,reference_source,reference_url,firms_match,firms_nearby_match,firms_nearby_status,firms_deep_match,firms_deep_status,firms_deep_api_successes,firms_deep_api_failures,firms_evidence_level,firms_evidence_status,firms_evidence_source,historical_firms_status,historical_firms_api_successes,historical_firms_api_failures,fire_duration_days,spread_rate_km_day,thermal_area_km2
INC-0001,305.42,363.4,302.02,0.41,0.36,VIIRS_SNPP,VIIRS,N,91.4,22.31296,82.76503,Urban / Developed,279.3,30.85,3.81,0.86,2.47,1.94,2253.5,0.081,8.1,0.097,23.1,23.4,81.6,0.0,0.0,14.4,35.2,32.4,-1.08,6,Monsoon,21,0,2,5,19,67.43,7.16,26.36,70.21,75.44,83.87,0.86,0,Thermal Power Plant,Korba Super Thermal Power Thermal Anomaly Event #1,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0001,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,4,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.6,0.15,10.109
INC-0002,293.14,418.13,338.25,0.34,0.33,VIIRS_NOAA21,VIIRS,N,87.3,22.397,82.81906,Industrial / Built-up,276.4,27.17,3.47,0.72,24.2,1.25,3212.4,0.105,10.5,0.126,19.9,28.0,55.6,0.0,0.0,32.9,259.8,14.4,-2.09,4,Summer,3,0,0,9,16,25.7,9.59,24.87,38.18,29.3,22.78,0.72,1,Thermal Power Plant,Korba Super Thermal Power Thermal Anomaly Event #2,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0002,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,7,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,1.2,1.34,9.069
INC-0003,115.13,479.45,331.37,1.71,1.1,MODIS_TERRA,MODIS,D,77.9,21.03725,72.64994,Industrial / Built-up,3.1,31.02,4.92,0.26,22.53,1.12,2228.1,0.066,6.6,0.079,20.7,28.3,20.5,0.0,0.0,5.8,100.3,41.3,-2.18,1,Winter,5,2,2,5,29,65.56,26.99,38.62,18.09,55.26,168.38,0.26,1,LNG Terminal,Hazira LNG Terminal Thermal Anomaly Event #3,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0003,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,7,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,2.88,2.05,6.434
INC-0004,347.68,468.75,309.67,0.45,0.48,VIIRS_NOAA21,VIIRS,N,87.8,23.67335,86.15523,Industrial / Built-up,232.9,26.05,4.95,0.45,4.21,1.89,4382.8,0.167,16.7,0.2,15.2,30.9,77.5,0.0,0.0,30.7,240.8,28.2,-1.45,9,Monsoon,3,0,1,8,15,34.82,16.01,12.65,58.14,210.81,150.88,0.45,1,Steel Plant,Bokaro Steel City Thermal Anomaly Event #4,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0004,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,3,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,0.18,1.61,2.154
INC-0005,179.01,421.38,317.9,0.48,0.48,VIIRS_NOAA21,VIIRS,D,77.6,21.70755,72.51404,Industrial / Built-up,13.9,11.76,3.74,1.18,1.75,1.82,1364.0,0.193,19.3,0.231,15.8,30.2,44.4,0.0,0.0,6.4,75.2,31.8,-1.53,10,Post-Monsoon,22,0,2,10,15,37.58,11.15,68.06,79.14,208.95,104.29,1.18,0,Petrochemical Complex,Dahej SEZ Gujarat Thermal Anomaly Event #5,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0005,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,4,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,3.66,2.78,10.96
INC-0006,327.73,445.3,330.81,0.48,0.33,VIIRS_SNPP,VIIRS,D,97.0,13.25276,80.28336,Industrial / Built-up,0.9,14.48,2.57,0.16,2.07,0.17,4333.8,0.026,2.6,0.031,10.9,38.0,83.4,0.0,0.0,31.0,97.5,22.6,-3.07,2,Winter,21,1,0,4,9,39.92,16.74,35.79,112.0,187.48,114.44,0.16,1,Petrochemical Plant,Manali Petrochem Chennai Thermal Anomaly Event #6,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0006,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,3,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,3.0,0.93,11.459
INC-0007,65.76,424.91,302.14,0.41,0.54,VIIRS_SNPP,VIIRS,D,96.7,23.82734,86.43355,Urban / Developed,214.5,14.6,1.0,0.16,9.16,1.96,3659.9,0.089,8.9,0.107,21.6,35.5,81.2,0.0,0.0,25.6,288.3,32.1,-0.35,12,Winter,12,0,0,3,26,18.15,1.5,78.7,104.04,246.9,21.67,0.16,1,Coal Colliery,Jharia Dhanbad Coal Belt Thermal Anomaly Event #7,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0007,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,6,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,0.54,0.11,1.142
INC-0008,341.5,391.09,306.73,0.4,0.47,VIIRS_NOAA20,VIIRS,N,91.3,24.1392,82.63129,Industrial / Built-up,367.3,25.48,2.42,1.13,2.9,0.89,420.6,0.135,13.5,0.162,28.3,24.2,21.6,0.0,0.0,16.1,344.4,32.1,-0.85,7,Monsoon,15,0,1,6,18,77.57,16.89,48.11,149.41,181.34,18.73,1.13,0,Coal Mine & Power,Singrauli Coal & Power Thermal Anomaly Event #8,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0008,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,3,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,0.6,2.98,11.691
INC-0009,282.47,445.87,338.59,0.54,0.33,VIIRS_NOAA21,VIIRS,N,96.2,23.81361,86.43587,Industrial / Built-up,228.5,29.95,5.27,1.01,11.8,0.52,1991.7,0.067,6.7,0.08,24.5,38.9,73.1,0.0,0.0,12.1,144.1,24.1,-3.04,6,Monsoon,20,2,3,5,15,34.75,26.87,23.19,15.94,166.16,39.91,1.01,0,Coal Colliery,Jharia Dhanbad Coal Belt Thermal Anomaly Event #9,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0009,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,5,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,4.14,0.85,8.348
INC-0010,317.99,427.65,335.55,0.49,0.49,VIIRS_NOAA20,VIIRS,D,78.2,21.72564,72.58054,Urban / Developed,40.0,12.71,5.73,1.07,1.65,1.28,4485.0,0.137,13.7,0.164,11.9,40.5,74.2,0.0,0.0,13.3,20.3,39.6,0.97,5,Summer,13,3,3,8,13,25.8,6.46,51.73,38.15,122.17,136.97,1.07,0,Petrochemical Complex,Dahej SEZ Gujarat Thermal Anomaly Event #10,State Disaster Management & SPCB Field Report,https://ndma.gov.in/incident-log/inc-0010,CONFIRMED_PIXEL,1,MATCH_RADIUS_500M,EXACT_TIME_COINCIDENCE,VERIFIED,3,0,TIER_1_CERTIFIED,GROUND_TRUTH_VERIFIED,NDMA_SATELLITE_CELL,COMPUTED_LEAKAGE_FREE,1,0,0.67,3.06,7.278
